...1,ai_help_received,ai_suggestion,ai_suggestion_correct,base_probability,correct,manual_ai_requested,manual_request_time,num_columns,response_col,response_time,seed,target_column_index,target_probability,timed_out,total_score_after_trial,trial_number,participant_id,popup_response,popup_response_time,toggle_state_at_start,toggle_used_during_trial,toggle_switch_time,condition,study_name,open_feedback,total_duration_seconds,tutorial_attempts,How annoying was the AI assistant?,How attentive were you to the AI assistant's suggestions?,How distracting was the AI assistant?,How much did the AI assistant improve your performance?,How useful was the AI assistant?,popup_events,popup_mode,prob_diff,order
1,FALSE,NA,NA,0.1,TRUE,NA,NA,10,0,5.1340000629425,1,0,0.4,FALSE,1,1,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.3,easy_first
2,FALSE,NA,NA,0.1,TRUE,NA,NA,10,8,12.074000120163,10,8,0.4,FALSE,10,10,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.3,easy_first
3,FALSE,NA,NA,0.1,FALSE,NA,NA,10,3,14.6190001964569,11,5,0.3,FALSE,10,11,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.2,easy_first
4,FALSE,NA,NA,0.1,TRUE,NA,NA,10,4,7.16899991035461,12,4,0.3,FALSE,11,12,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.2,easy_first
5,FALSE,NA,NA,0.1,TRUE,NA,NA,10,3,8.27400016784668,13,3,0.3,FALSE,12,13,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.2,easy_first
6,FALSE,NA,NA,0.1,TRUE,NA,NA,10,5,5.27699995040894,14,5,0.3,FALSE,13,14,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.2,easy_first
7,FALSE,NA,NA,0.1,TRUE,NA,NA,10,7,6.19799995422363,15,7,0.3,FALSE,14,15,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.2,easy_first
8,FALSE,NA,NA,0.1,FALSE,NA,NA,10,0,60,16,1,0.3,TRUE,14,16,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.2,easy_first
9,FALSE,NA,NA,0.1,TRUE,NA,NA,10,2,41.5019998550415,17,2,0.3,FALSE,15,17,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.2,easy_first
10,FALSE,NA,NA,0.1,FALSE,NA,NA,10,9,6.04099988937378,18,2,0.3,FALSE,15,18,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.2,easy_first
11,FALSE,NA,NA,0.1,TRUE,NA,NA,10,3,5.14699983596802,19,3,0.3,FALSE,16,19,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.2,easy_first
12,FALSE,NA,NA,0.1,TRUE,NA,NA,10,9,11.8759999275208,2,9,0.4,FALSE,2,2,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.3,easy_first
13,FALSE,NA,NA,0.1,TRUE,NA,NA,10,7,5.2720000743866,20,7,0.3,FALSE,17,20,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.2,easy_first
14,FALSE,NA,NA,0.1,TRUE,NA,NA,10,4,5.15000009536743,21,4,0.2,FALSE,18,21,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.1,easy_first
15,FALSE,NA,NA,0.1,FALSE,NA,NA,10,2,12.6689999103546,22,5,0.2,FALSE,18,22,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.1,easy_first
16,FALSE,NA,NA,0.1,TRUE,NA,NA,10,7,9.55000019073486,23,7,0.2,FALSE,19,23,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.1,easy_first
17,FALSE,NA,NA,0.1,TRUE,NA,NA,10,2,5.42899990081787,24,2,0.2,FALSE,20,24,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.1,easy_first
18,FALSE,NA,NA,0.1,TRUE,NA,NA,10,3,5.66900014877319,25,3,0.2,FALSE,21,25,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.1,easy_first
19,FALSE,NA,NA,0.1,FALSE,NA,NA,10,5,5.45199966430664,26,1,0.2,FALSE,21,26,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.1,easy_first
20,FALSE,NA,NA,0.1,FALSE,NA,NA,10,6,10.8789999485016,27,8,0.2,FALSE,21,27,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.1,easy_first
21,FALSE,NA,NA,0.1,FALSE,NA,NA,10,5,5.9539999961853,28,8,0.2,FALSE,21,28,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.1,easy_first
22,FALSE,NA,NA,0.1,TRUE,NA,NA,10,2,5.35499978065491,29,2,0.2,FALSE,22,29,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.1,easy_first
23,FALSE,NA,NA,0.1,TRUE,NA,NA,10,6,5.83099961280823,3,6,0.4,FALSE,3,3,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.3,easy_first
24,FALSE,NA,NA,0.1,FALSE,NA,NA,10,8,9.35900020599365,30,0,0.2,FALSE,22,30,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.1,easy_first
25,FALSE,NA,NA,0.1,FALSE,NA,NA,10,4,6.58500027656555,31,3,0.11,FALSE,22,31,1,NA,NA,NA,NA,NA,control,Pilot4-2025-04-30-3cond-4diff,no feed back,1063.27,1,NA,NA,NA,NA,NA,NA,NA,0.01,easy_first
